cidade,data,idx_total,idx_1d,idx_2d,idx_3d,idx_4d,var_total,var_1d,var_2d,var_3d,var_4d,preco_total,preco_1d,preco_2d,preco_3d,preco_4d
Índice FipeZAP,2008-01-01,41.811068498625254,39.46608734046782,40.4504786751504,43.47947987197312,47.09431516626593,,,,,,2228.5376915650727,2410.8840708207977,1982.9440387996565,2212.4699757851986,2828.4834911238063
Índice FipeZAP,2008-02-01,42.065077010020694,39.863723604465875,40.745336480892774,43.61147286438224,47.22228645853504,0.006075149966660093,0.010075391071015283,0.007289352694941276,0.0030357537118148397,0.002717340549858364,2242.0763922476845,2435.174670661198,1997.3984172727985,2219.1864897264677,2836.1694440088418
Índice FipeZAP,2008-03-01,42.506114495884376,40.46330251053231,41.29048599245621,43.90101504503212,47.42020525740707,0.010484647056716714,0.01504071501236441,0.013379433295858932,0.006639128688688368,0.004191215921868273,2265.5837718945986,2471.8014388879415,2024.1224761619544,2233.91995441596,2848.0564425396874
Índice FipeZAP,2008-04-01,43.090376888038406,41.23354509581621,41.872013176365705,44.475047145357806,47.75081427476724,0.013745372850077731,0.01903558378813527,0.014083805746818764,0.013075599726723097,0.006971901862624888,2296.7250655623757,2518.8536222855264,2052.629823923989,2263.1297975614425,2867.91281255629
Índice FipeZAP,2008-05-01,43.66682236804259,41.943743640855985,42.40593068836442,45.03303759976963,48.26624638110091,0.013377591973770898,0.01722380511764033,0.012751178448235671,0.012546146440005929,0.010794205589202702,2327.4497163654014,2562.237866195635,2078.8032730970144,2291.523355414389,2898.8696530669317
Índice FipeZAP,2008-06-01,44.31249165100063,42.689388398790925,43.03817682894492,45.60893657705369,48.894630230389495,0.014786266733953278,0.017777258136983103,0.014909380134273863,0.012788366230196456,0.013019115767300062,2361.8640086814444,2607.7874301513475,2109.7969413199908,2320.8281953084766,2936.610372674523
Índice FipeZAP,2008-07-01,44.908595389006244,43.51543294649353,43.70075970217146,46.024893950254445,49.19961981684388,0.013452273067839547,0.019350114365330337,0.015395235626731488,0.009120084887268027,0.006237690826524103,2393.6364482753293,2658.2484151652466,2142.277762356169,2341.994345458455,2954.9280402572304
Índice FipeZAP,2008-08-01,45.375148677227436,43.78280866220514,44.47193802369557,46.473748922080745,49.352974626563864,0.010388953031815513,0.006144388268878487,0.01764679439853749,0.009752439023790818,0.003116991763165655,2418.5038249117033,2674.581725543153,2180.0820975730276,2364.834502506602,2964.1385266194593
Índice FipeZAP,2008-09-01,45.83785217110294,44.10892177681556,45.16211898393369,46.882565381662275,49.5970926245315,0.010197288766300395,0.00744842838033675,0.015519471174617355,0.008796717912018689,0.004946368477579825,2443.16600679673,2694.503155973219,2213.9158188446117,2385.637284533762,2978.80024799071
Índice FipeZAP,2008-10-01,46.36882490056597,44.463404133451185,45.909004286568916,47.32027861973344,50.104864563237555,0.011583717480501226,0.008036522824775582,0.01653787110611277,0.009336375569634873,0.010237937585375834,2471.4669515774276,2716.1575920876276,2250.529273296448,2407.910490195093,3009.297019008941
Índice FipeZAP,2008-11-01,47.110517962658264,45.244893743287065,46.714820073012675,47.87177660048087,50.87833341720173,0.015995511287654945,0.017576018414836917,0.017552456189504174,0.011654580168034837,0.015437001191530643,2510.9993290984503,2763.896827943759,2290.0315897691808,2435.973676040524,3055.7515406770513
Índice FipeZAP,2008-12-01,47.943203126129774,46.45156066258363,47.51862428949227,48.3991832343002,51.6204461788092,0.017675143460140572,0.026669681801951468,0.017206621265441938,0.011017068328607472,0.014586027327627883,2555.381602468582,2837.609076878442,2329.4352960202373,2462.8109644761516,3100.322816155808
Índice FipeZAP,2009-01-01,48.604826558414146,47.21260700733841,48.1569423653259,48.95203301594437,52.25590106689639,0.013800150785581845,0.01638365501393791,0.013433008328374116,0.011422708911591117,0.012310139394882727,2590.6462538973506,2884.099485058437,2360.7266197520858,2490.9429372276377,3138.488222191822
